tanggal,kelurahan,korban_terdampak,kerusakan,latitude,longitude
2019-01-01,Paruga,405,Berat,-8.489812123586045,118.78323910417019
2019-01-16,Kodo,225,Sedang,-8.408887949860805,118.79916243429612
2019-01-31,Sarae,78,Sedang,-8.41794924957679,118.71636162041383
2019-02-15,Paruga,93,Ringan,-8.423996509819682,118.7691777639142
2019-03-02,Kodo,112,Berat,-8.495123368118685,118.76742935737
2019-03-17,Penatoi,48,Sedang,-8.415627120728974,118.79799554473583
2019-04-01,Monggonao,22,Berat,-8.456195592409461,118.79856007339528
2019-04-16,Paruga,306,Sedang,-8.465760487670414,118.76866786117242
2019-05-01,Sarae,322,Berat,-8.445352363897463,118.72436147919822
2019-05-16,Paruga,190,Ringan,-8.490864675727645,118.77985558381306
2019-05-31,Sarae,277,Berat,-8.42433534506476,118.7107029134211
2019-06-15,Paruga,22,Sedang,-8.441756492311171,118.77806993041716
2019-06-30,Sarae,129,Ringan,-8.481340990312683,118.79101961241447
2019-07-15,Kodo,467,Berat,-8.481176780023096,118.73828333947685
2019-07-30,Penatoi,362,Sedang,-8.481575134842732,118.76306352949831
2019-08-14,Kodo,66,Ringan,-8.494299761244807,118.74301427320968
2019-08-29,Penatoi,49,Berat,-8.441220155062831,118.74377650549881
2019-09-13,Kodo,383,Sedang,-8.41596518224115,118.73103708891081
2019-09-28,Kodo,345,Berat,-8.49825017860126,118.77621296204504
2019-10-13,Paruga,137,Berat,-8.495099535502872,118.79361765641664
2019-10-28,Monggonao,182,Ringan,-8.442722972331305,118.79407508592344
2019-11-12,Sarae,44,Ringan,-8.418050431461396,118.7174781284875
2019-11-27,Sarae,268,Sedang,-8.467326110943137,118.78747436496566
2019-12-12,Sarae,385,Ringan,-8.465038560119227,118.77374314414271
2019-12-27,Penatoi,14,Sedang,-8.440365350250323,118.72528374006903
2020-01-11,Sarae,227,Berat,-8.472578711087586,118.70672846129216
2020-01-26,Sarae,20,Berat,-8.497339163392231,118.72679972668844
2020-02-10,Paruga,391,Sedang,-8.426477148189841,118.79122082367815
2020-02-25,Kodo,336,Berat,-8.437435008705855,118.76331786748958
2020-03-11,Sarae,126,Ringan,-8.441924400094434,118.77210546608978
2020-03-26,Monggonao,193,Berat,-8.425831587100818,118.72571523511091
2020-04-10,Sarae,403,Ringan,-8.432476916243797,118.77193881555748
2020-04-25,Penatoi,371,Sedang,-8.479411801182168,118.70281215062779
2020-05-10,Penatoi,125,Sedang,-8.464751895305666,118.73753213457731
2020-05-25,Penatoi,171,Berat,-8.487388985832137,118.76267533485424
2020-06-09,Sarae,76,Berat,-8.487014298658211,118.71460965655413
2020-06-24,Paruga,209,Ringan,-8.432380425364347,118.7823003574447
2020-07-09,Monggonao,40,Ringan,-8.41413998930175,118.7235031298812
2020-07-24,Sarae,84,Berat,-8.403726741613886,118.76522811128184
2020-08-08,Paruga,246,Berat,-8.437165288245057,118.74051971425753
2020-08-23,Paruga,336,Sedang,-8.481589867663905,118.75960435954777
2020-09-07,Sarae,75,Sedang,-8.489434965455107,118.71074505526289
2020-09-22,Sarae,79,Sedang,-8.418714902846325,118.70169127999216
2020-10-07,Paruga,306,Berat,-8.442124352364,118.79095644273802
2020-10-22,Paruga,456,Berat,-8.438171497898628,118.72696300087672
2020-11-06,Paruga,425,Berat,-8.42185379112453,118.78196770027805
2020-11-21,Sarae,29,Sedang,-8.429672277226755,118.79993503004722
2020-12-06,Paruga,450,Berat,-8.41655417471439,118.7211431257999
2020-12-21,Penatoi,235,Ringan,-8.494378609454012,118.72651707411833
2021-01-05,Sarae,443,Berat,-8.42524793632535,118.76628597876346
2021-01-20,Penatoi,473,Berat,-8.41491472426779,118.79654486346006
2021-02-04,Kodo,418,Berat,-8.47138649575417,118.79158143481907
2021-02-19,Sarae,405,Berat,-8.435955272600674,118.75028755200655
2021-03-06,Kodo,208,Berat,-8.468583793616302,118.77951102825267
2021-03-21,Paruga,48,Ringan,-8.404202893351755,118.71357458531
2021-04-05,Paruga,154,Ringan,-8.49665764275645,118.7977438184204
2021-04-20,Monggonao,54,Berat,-8.442020715616705,118.7964353234036
2021-05-05,Paruga,404,Sedang,-8.483349645295048,118.71637289578791
2021-05-20,Kodo,335,Berat,-8.428777979482284,118.72994231248032
2021-06-04,Paruga,390,Berat,-8.482410971658133,118.71001549975068
2021-06-19,Sarae,416,Berat,-8.476461673810164,118.72717175988981
2021-07-04,Paruga,100,Sedang,-8.450562918895425,118.78159557894152
2021-07-19,Monggonao,247,Sedang,-8.408516505000312,118.73783156071653
2021-08-03,Paruga,79,Sedang,-8.478828562785203,118.70883969671468
2021-08-18,Kodo,175,Ringan,-8.485575997888189,118.73422255247789
2021-09-02,Kodo,139,Sedang,-8.424102316814597,118.79813833342412
2021-09-17,Paruga,223,Ringan,-8.449938046766608,118.76296835952591
2021-10-02,Kodo,349,Ringan,-8.408821488761824,118.74161609464062
2021-10-17,Kodo,98,Sedang,-8.485338544284016,118.71665385134973
2021-11-01,Monggonao,344,Sedang,-8.435407210697697,118.79861767972837
2021-11-16,Sarae,261,Sedang,-8.476712085384818,118.78208490092631
2021-12-01,Monggonao,378,Ringan,-8.484323957134837,118.7281477302451
2021-12-16,Penatoi,358,Berat,-8.431657058484273,118.70700686957213
2021-12-31,Monggonao,81,Sedang,-8.440631538009127,118.70566255573776
2022-01-15,Paruga,174,Sedang,-8.424517254163767,118.71203781495056
2022-01-30,Sarae,58,Sedang,-8.469053742355381,118.75807685836145
2022-02-14,Paruga,61,Ringan,-8.455202834361781,118.79287634212055
2022-03-01,Penatoi,298,Ringan,-8.459452832366958,118.7496743428006
2022-03-16,Sarae,287,Berat,-8.40159105360335,118.78429454824561
2022-03-31,Kodo,123,Sedang,-8.470775104326062,118.74458866198599
2022-04-15,Monggonao,248,Ringan,-8.470518276165324,118.77085835457679
2022-04-30,Paruga,142,Berat,-8.46454517911714,118.77318727372865
2022-05-15,Penatoi,496,Sedang,-8.443540591870969,118.71739637059034
2022-05-30,Kodo,283,Ringan,-8.474767725573626,118.73612160589758
2022-06-14,Monggonao,175,Sedang,-8.408471005962072,118.76373021565381
2022-06-29,Kodo,383,Sedang,-8.473431443513373,118.70706966081843
2022-07-14,Monggonao,382,Ringan,-8.41041842684398,118.73615401877629
2022-07-29,Sarae,302,Ringan,-8.489652493635342,118.75347994662812
2022-08-13,Kodo,487,Ringan,-8.434343729760036,118.79962244930447
2022-08-28,Kodo,252,Sedang,-8.409301448156176,118.74745335626224
2022-09-12,Kodo,488,Sedang,-8.483125056160176,118.78160567571143
2022-09-27,Sarae,329,Berat,-8.403167303990076,118.74320672850666
2022-10-12,Penatoi,147,Sedang,-8.454711663958449,118.77963907226197
2022-10-27,Monggonao,88,Ringan,-8.405428489155899,118.75954148016201
2022-11-11,Kodo,179,Sedang,-8.432317995636996,118.78865954415024
2022-11-26,Sarae,132,Berat,-8.469841313012646,118.74109425523501
2022-12-11,Penatoi,185,Berat,-8.48116974750829,118.76043044198215
2022-12-26,Monggonao,309,Ringan,-8.46962649537749,118.76300186806188
2023-01-10,Sarae,91,Ringan,-8.490698259073733,118.74173829418005
2023-01-25,Monggonao,96,Berat,-8.485613203365666,118.71443120436875
2023-02-09,Kodo,234,Berat,-8.489533955965351,118.70935594069124
